K00117.01,10875245,14.3750664447,2.8203214696,1.113,138.77799,6.0995,1.402,68.16,-60.12,5847,7295,8.223
K00117.02,10875245,4.7771345695,1.6590126292,1.113,138.60548,4.1654,1.402,68.16,-60.12,5847,7295,8.223
K00117.03,10875245,3.0993730319,1.4931113662,1.113,133.49863,3.5797,1.402,68.16,-60.12,5847,7295,8.223
K00457.01,7440748,5.0679687458,2.0517921147,0.827,174.299322,1.8806,0.799,68.45,-71.91,5076,6012,11.47
K00250.01,9757613,12.5622020748,2.869544966,0.537,170.39809,2.7096,0.537,69.69,-67.74,3879,6761,10.64
K00250.02,9757613,17.6433498453,2.6768900036,0.537,149.886479,2.0371,0.537,69.69,-67.74,3879,6761,10.64
K00250.03,9757613,3.6244762389,1.2269079183,0.537,136.26075,1.8717,0.537,69.69,-67.74,3879,6761,10.64
K00313.01,7419318,19.3085327328,2.0870799811,0.814,177.634372,3.0356,0.795,70.23,-63.04,5188,5861,10.3
K00157.01,6541920,13.2641815073,2.9205633803,0.921,138.176157,4.5706,1.046,71.58,-64.24,5657,4630,11.6
K00157.02,6541920,23.1038839268,3.2450704225,0.921,148.455435,5.4921,1.046,71.58,-64.24,5657,4630,11.6
K00157.03,6541920,32.5832345356,4.178028169,0.921,154.160745,4.2817,1.046,71.58,-64.24,5657,4630,11.6
K00157.04,6541920,47.5431651559,2.5554929577,0.921,225.04604,6.3794,1.046,71.58,-64.24,5657,4630,11.6
K00157.05,6541920,120.5531117477,3.4478873239,0.921,287.28744,9.5574,1.046,71.58,-64.24,5657,4630,11.6
K00157.01,6541920,12.7268478228,2.7365225998,0.921,138.176157,4.5706,1.046,71.81,-72.79,5657,4864,12.84
K00157.02,6541920,22.1679426424,3.0405806664,0.921,148.455435,5.4921,1.046,71.81,-72.79,5657,4864,12.84
K00157.03,6541920,31.2632835492,3.9147476081,0.921,154.160745,4.2817,1.046,71.81,-72.79,5657,4864,12.84
K00157.04,6541920,45.6171854722,2.3944572748,0.921,225.04604,6.3794,1.046,71.81,-72.79,5657,4864,12.84
K00157.05,6541920,115.6694898164,3.2306169581,0.921,287.28744,9.5574,1.046,71.81,-72.79,5657,4864,12.84
K00314.01,7603200,13.3557363858,1.4686088857,0.505,177.852785,2.3188,0.503,72.18,-75.66,3846,5834,6.745
K00314.02,7603200,22.376371631,1.2824471959,0.505,171.007634,1.7012,0.503,72.18,-75.66,3846,5834,6.745
K00459.01,7977197,19.0702036356,3.1373580395,0.875,170.10238,3.6227,0.954,73.1,-61.7,5815,6152,8.728
K00416.01,6508221,17.7387145814,3.090440678,0.826,185.84306,3.7965,0.738,73.73,-61.11,5176,5000,11.9
K00416.02,6508221,85.9809123051,2.9700338983,0.826,153.77974,4.539,0.738,73.73,-61.11,5176,5000,11.9
K00262.01,11807274,7.5016295706,1.6137221269,1.187,172.6138,4.098,1.543,74.38,-63.91,6237,5212,10.88
K00295.01,11547513,5.2158586788,1.9976645435,0.966,171.875619,2.9331,1.054,75.77,-60.1,5923,5000,11.9
K00082.01,10187017,16.6997259536,2.4157109191,0.806,134.754877,3.7236,0.741,75.8,-68.83,4900,6194,11.01
K00082.02,10187017,10.6656052526,1.3052631579,0.806,134.07991,3.1818,0.741,75.8,-68.83,4900,6194,11.01
K00082.03,10187017,28.3957113824,0.9253731343,0.806,145.02866,3.747,0.741,75.8,-68.83,4900,6194,11.01
K00082.04,10187017,7.3140216455,0.6136684996,0.806,139.98763,2.757,0.741,75.8,-68.83,4900,6194,11.01
K00082.05,10187017,5.4683456249,0.4967792616,0.806,135.85427,2.579,0.741,75.8,-68.83,4900,6194,11.01
K00935.01,9347899,21.7031649269,5.3388633957,0.958,180.017757,5.1937,1.257,76.91,-58.76,6035,6109,10.18
K00935.02,9347899,44.3571122156,5.0670667137,0.958,141.16954,6.1998,1.257,76.91,-58.76,6035,6109,10.18
K00935.03,9347899,91.1894107012,3.8828097423,0.958,134.94222,8.871,1.257,76.91,-58.76,6035,6109,10.18
K00939.01,9466668,3.2256537089,2.0493163602,0.949,170.5336,2.6849,1.25,77.79,-70.32,5553,5623,9.689
K00939.02,9466668,5.5592794553,2.0007543612,0.949,132.09261,3.1915,1.25,77.79,-70.32,5553,5623,9.689
K00939.03,9466668,1.5428124581,1.5248467704,0.949,132.06388,2.1888,1.25,77.79,-70.32,5553,5623,9.689
K00123.01,5094751,6.4812661668,2.5571145462,1.009,122.977657,3.784,1.302,78.22,-29.67,5945,5943,9.464
K00085.01,5866724,5.8488927605,2.6089171975,1.231,132.040528,4.0185,1.424,78.79,-61.64,6181,8356,9.829
K00085.02,5866724,2.1508502524,1.447133758,1.231,133.498613,3.1341,1.424,78.79,-61.64,6181,8356,9.829
K01127.01,6359320,5.2621374522,2.1532883642,1.016,357.12617,3.4045,0.921,78.94,-67.96,5831,6324,9.777
K01127.02,6359320,8.0296170329,1.3243676223,1.016,358.68367,3.727,0.921,78.94,-67.96,5831,6324,9.777
K00282.01,5088536,28.0477925209,2.9630964298,0.95,182.103494,5.9291,1.137,79.13,-64.82,5903,6442,10.21
K00282.02,5088536,8.6231860011,1.0142142142,0.95,139.06689,3.2893,1.137,79.13,-64.82,5903,6442,10.21
K00246.01,11295426,5.3323330525,2.19905448,0.997,173.858666,3.4303,1.198,79.21,-64.48,5790,5105,11.67
K00241.01,11288051,13.7630889075,2.2851746931,0.715,131.79237,3.985,0.651,79.36,-56.85,4983,5916,9.946
K00241.02,11288051,30.8199688007,1.5684608121,0.715,153.84507,5.394,0.651,79.36,-56.85,4983,5916,9.946
K00892.01,7678434,10.3038255288,3.1507692308,0.822,172.61729,3.035,0.888,79.64,-75.84,5121,5834,11.8
K00343.01,10982872,4.7976815553,2.81133829,1.004,170.335759,3.3061,1.225,80.31,-69.12,5794,7816,9.751
K00343.02,10982872,2.039436386,1.9832713755,1.004,170.496204,2.5273,1.225,80.31,-69.12,5794,7816,9.751
K00159.01,8972058,9.349529822,2.6778932779,1.032,136.73923,4.2447,1.171,82.36,-58.02,5881,5598,12.41
K00317.01,8121310,22.3774730169,3.0050741351,1.324,206.35965,7.3327,1.403,82.64,-47.42,6336,6067,8.93
K00564.01,6786037,21.3717375393,2.7390438247,1.018,171.92457,7.1605,1.247,83.03,-77,5751,4336,12.28
K00564.02,6786037,129.8387904301,7.9980079681,1.018,246.46401,14.475,1.247,83.03,-77,5751,4336,12.28
K00474.01,10460984,11.3721930069,2.7533213645,0.966,176.71834,3.0937,1.097,83.63,-76.98,5888,5957,11.38
K00474.02,10460984,30.1161456763,2.6175942549,0.966,134.7812,3.6233,1.097,83.63,-76.98,5888,5957,11.38
K00474.03,10460984,98.5834154625,4.1105924596,0.966,214.82879,6.923,1.097,83.63,-76.98,5888,5957,11.38
K00157.01,6541920,12.9264512434,2.7461263409,0.921,138.176157,4.5706,1.046,85.39,-59.05,5657,5728,11.41
K00157.02,6541920,22.5156168851,3.0512514899,0.921,148.455435,5.4921,1.046,85.39,-59.05,5657,5728,11.41
K00157.03,6541920,31.7536059308,3.9284862932,0.921,154.160745,4.2817,1.046,85.39,-59.05,5657,5728,11.41
K00157.04,6541920,46.3326294206,2.4028605483,0.921,225.04604,6.3794,1.046,85.39,-59.05,5657,5728,11.41
K00157.05,6541920,117.4836095533,3.241954708,0.921,287.28744,9.5574,1.046,85.39,-59.05,5657,5728,11.41
K00150.01,7626506,8.5161064101,2.3650591447,0.776,134.006366,3.4967,0.812,85.6,-59.14,5551,5861,11.74
K00474.01,10460984,10.7260566073,2.9361485257,0.966,176.71834,3.0937,1.097,85.72,-66.27,5888,5623,11.79
K00474.02,10460984,28.4050299815,2.7914088096,0.966,134.7812,3.6233,1.097,85.72,-66.27,5888,5623,11.79
K00474.03,10460984,92.9821797913,4.3835456862,0.966,214.82879,6.923,1.097,85.72,-66.27,5888,5623,11.79
K01102.01,3231341,12.0873333935,4.0830973707,0.884,137.58782,6.221,1.24,86.58,-7.204,5896,5152,10.16
K01102.02,3231341,7.982628845,3.3992776654,0.884,140.56811,5.073,1.24,86.58,-7.204,5896,5152,10.16
K01102.03,3231341,18.6194255686,42.7833285178,0.884,144.74157,4.529,1.24,86.58,-7.204,5896,5152,10.16
K00117.01,10875245,14.9407537157,2.7546503958,1.113,138.77799,6.0995,1.402,86.9,-64.71,5847,5636,11.71
K00117.02,10875245,4.9651242548,1.6203825858,1.113,138.60548,4.1654,1.402,86.9,-64.71,5847,5636,11.71
K00117.03,10875245,3.2213394854,1.4583443272,1.113,133.49863,3.5797,1.402,86.9,-64.71,5847,5636,11.71
K00601.01,10973664,5.2905404974,2.8866893369,1.041,172.18553,2.5315,0.964,86.91,52.64,6122,4421,10.88
K00601.02,10973664,11.4331680342,4.2236822929,1.041,131.5119,1.2641,0.964,86.91,52.64,6122,4421,10.88
K00369.01,7175184,5.6064172576,1.6278815196,1.072,174.42554,1.9531,1.431,87.23,-55.56,6070,5458,10.72
K00707.01,9458613,20.9920140944,4.7024193548,1.1,189.63828,7.9588,1.694,87.74,-57.03,5900,4887,13.33
K00707.02,9458613,39.5518063931,3.8725806452,1.1,172.57481,9.8052,1.694,87.74,-57.03,5900,4887,13.33
K00707.03,9458613,30.640937539,3.5070564516,1.1,135.87105,8.8077,1.694,87.74,-57.03,5900,4887,13.33
K00707.04,9458613,12.7013953614,2.7858870968,1.1,143.6789,6.6677,1.694,87.74,-57.03,5900,4887,13.33
K00569.01,8008206,20.4713290297,1.9182466871,0.811,185.43113,2.8066,0.803,87.76,62.46,4979,5495,9.202
K00301.01,3642289,5.7584443001,2.2935783692,1.257,171.71419,4.1628,1.36,87.81,-46.9,6204,8241,6.931
K01001.01,1871056,41.084953367,3.8587328287,1.472,155.71586,13.135,2.097,89.15,-62.18,6207,6109,11.42
K00351.03,11442793,58.3970285168,2.8454302103,1.089,158.95974,8.0006,1.2,90.77,-54.21,5970,7568,8.663
