K02313.01,10132832,2.14,16.076731480,1.0830,143.3909100,2.20500,0.9710,15.306
K02413.01,3234598,1.49,12.904675230,0.7120,144.3200900,3.28000,0.7220,15.070
K02513.01,9653622,28.47,19.005409800,1.0320,144.1557400,1.84300,1.0360,14.839
K02613.01,9712350,2.41,51.573865300,0.9240,158.0674400,2.78400,0.8130,15.960
K02813.01,11197853,14.81,0.698461304,2.1700,131.8513800,0.78870,12.5580,13.586
K02913.01,9693006,0.84,2.888785830,1.1390,132.3365100,2.97700,1.3310,12.858
K03013.01,11565544,19.39,3.765620310,0.9490,131.7556200,1.28800,0.8530,14.698
K03113.01,7676423,1.03,2.460500950,0.6200,133.6160500,1.86100,0.6340,15.245
K03313.01,9571186,21.74,34.952425600,0.8640,163.5204800,1.71700,0.7790,14.767
K03813.01,5386904,6.90,4.859144100,1.2260,132.6666000,3.85880,1.2070,14.113
K03913.01,10281221,5.87,0.582895412,1.0680,131.6210830,1.05280,1.0090,14.972
K04513.01,9216775,0.94,3.917946760,0.9740,132.8638400,2.54900,0.8700,14.750
K04613.01,10220837,0.81,1.962282625,0.9150,131.5358500,1.45000,0.9790,13.885
K04713.01,5253802,1.36,8.796316600,1.0000,134.3262000,4.69600,1.0000,13.641
K04813.01,4840672,0.82,9.229472600,0.6180,136.1730000,2.44600,0.5960,13.780
K04913.01,5769810,2.44,6.787881130,1.6770,136.3345000,2.26000,2.8290,13.360
K00041.01,6521045,2.26,12.815904210,1.0500,122.9468200,6.38560,1.4740,11.197
K00141.01,12105051,5.11,2.624234833,0.9630,132.3049880,1.38740,0.8990,13.687
K00241.01,11288051,2.20,13.821420840,0.7150,131.7923700,3.98500,0.6510,14.139
K00341.01,10878263,2.73,7.170710381,0.8840,176.6668440,2.92250,0.9410,13.338
K00541.01,11656721,2.06,13.646174780,0.9280,180.3499100,3.40980,0.8290,14.748
K00641.01,5131180,2.73,14.851855260,0.6710,177.9987000,3.52630,0.6520,13.583
K00841.01,5792202,5.00,15.335286750,0.9260,174.0027800,3.89700,0.8170,15.855
K00941.01,9480189,4.56,6.581477136,0.8680,174.7878140,3.08960,0.9730,15.471
K01141.01,8346392,1.38,5.728126160,0.5670,135.1806600,2.02950,0.5480,15.950
K01241.01,6448890,11.64,21.405442200,1.3810,147.0898100,11.72100,4.3610,12.440
K01341.01,4650674,1.84,4.514360960,1.0910,134.0293000,3.00830,1.2150,14.946
K01441.01,11356260,1.90,8.506980690,0.9510,134.6442100,2.93800,0.9860,15.135
K01541.01,4840513,25.74,2.379282197,1.2320,133.6513650,3.17290,1.1620,15.189
K01641.01,10879038,1.72,4.853840400,1.0380,135.0990200,3.19800,0.9680,14.971
K01841.01,11760231,2.12,49.607577100,0.8580,138.4151700,2.95750,0.7740,13.218
K02241.01,5125347,2.31,7.165204280,1.1620,132.9692100,1.70500,1.1030,15.302
K02541.01,12306058,3.36,7.416830330,1.1360,137.9638900,7.27400,3.3240,13.007
K02641.01,8894646,0.84,3.555579220,0.9260,132.7520300,3.24000,1.0820,13.845
K02841.01,8758204,2.73,159.388788000,0.8120,226.9313000,8.43200,0.8740,15.822
K03041.01,4072955,1.15,5.082880760,1.0110,134.0055700,2.51500,1.0830,14.207
K03141.01,5440317,1.24,2.319415710,1.0230,131.9392500,1.59100,1.2480,14.869
K03341.01,5621333,2.13,27.096514600,1.0380,139.3521000,8.42000,1.3520,14.886
K03541.01,8868364,54.16,421.428481940,1.1520,262.2889053,8.60447,1.7080,13.769
K04241.01,9285568,1.25,2.553150310,0.9960,132.4484900,1.84900,0.9080,15.424
K04341.01,6792908,1.25,10.778313000,1.0540,136.6142000,5.25600,1.2580,13.264
K04441.01,8416523,1.72,0.341842017,0.8170,131.6603360,1.15540,0.7470,14.915
K04541.01,5511659,2.08,8.529122300,0.9370,135.7404300,3.24100,1.1110,15.377
K05341.01,7009548,2.26,15.185755820,1.0500,144.6398500,0.63300,1.3390,12.493
K05441.01,7900450,1.25,25.480521100,1.0520,145.4404000,10.70100,0.9860,13.181
K06641.01,5966732,1.16,1.400903699,1.0330,131.8456200,0.88300,0.9750,15.514
K06941.01,7967100,45.99,1.927300010,1.0090,132.3606700,18.81200,1.1100,13.943
