RA,DEC,max,min,med,avg,camera
-73.03,-82.66,2,0,2,1.707,3
73.09,-42.62,3,1,2,1.787,3
73.1,-61.7,13,12,13,12.528,4
73.73,-61.11,13,12,13,12.539,4
73.77,-71.45,13,12,12,12.45,4
73.79,-74.27,13,12,13,12.557,4
-73.92,-0.06869,0,0,0,0,nan
-73.92,-1.874,0,0,0,0,nan
73.94,-42.36,3,1,2,1.788,3
74.15,-32.84,2,0,2,1.496,3
74.19,-72.76,13,12,12,12.498,4
74.2,-26.03,2,0,1,1.284,2
-74.21,-0.5126,0,0,0,0,nan
74.27,-71.8,13,12,12,12.457,4
74.28,-39.93,2,0,2,1.856,3
74.3,-76.81,13,12,13,12.631,4
74.38,-63.91,13,12,12,12.413,4
74.4,-28.41,2,0,1,1.347,2
74.63,-62.69,13,12,12,12.457,4
74.73,-23.05,2,0,1,1.218,2
-74.78,-0.5905,0,0,0,0,nan
74.78,-48.56,3,2,3,2.696,3
74.81,-59.62,13,12,13,12.576,4
75.1,-46.75,3,2,2,2.467,3
75.11,-72.47,13,12,12,12.472,4
75.12,-27.46,2,0,1,1.324,2
75.18,-65.4,13,12,12,12.324,4
75.2,-40.89,2,0,2,1.931,3
75.49,-45.83,3,2,2,2.369,3
75.77,-60.1,13,12,13,12.543,4
75.8,-68.83,13,12,12,12.291,4
75.9,-68.85,13,12,12,12.287,4
-75.92,-11.77,0,0,0,0,nan
76.09,-75.3,13,12,13,12.576,4
76.36,-64.9,13,12,12,12.291,4
76.37,-78.26,11,9,10,10.053,4
76.43,-18.34,1,0,1,0.931,2
76.59,-13.31,2,0,1,1.052,2
76.71,-73.65,13,12,13,12.506,4
76.74,-24.22,2,0,1,1.249,2
76.81,-29.96,3,0,1,1.544,2
-76.88,-50.6,1,0,1,0.955,1
76.9,-74.82,13,12,13,12.554,4
76.91,-58.76,13,12,13,12.576,4
77.09,-52.78,6,4,5,4.86,3
77.26,-74.59,13,12,13,12.543,4
77.5,-53.88,7,5,6,6.213,4
77.54,-45.91,3,2,2,2.419,3
77.76,-60.26,13,12,13,12.502,4
77.79,-70.32,13,12,12,12.291,4
77.81,-27.05,2,0,1,1.322,2
-77.85,-47.38,1,0,1,0.931,1
77.89,-60.01,13,12,13,12.513,4
77.91,-70.36,13,12,12,12.291,4
78.03,-36.36,2,0,2,1.683,3
78.15,-59.41,13,12,13,12.535,4
78.22,-29.67,3,0,1,1.505,2
78.27,-61.85,13,12,12,12.402,4
78.28,-44.8,3,2,2,2.31,3
78.3,-61.88,13,12,12,12.402,4
78.35,-64.79,13,12,12,12.187,4
78.41,-5.578,1,0,1,0.961,1
78.45,-75.09,13,12,13,12.554,4
78.47,-54.33,8,6,7,7.198,4
-78.58,-51.64,1,0,1,0.961,1
78.79,-61.64,13,12,12,12.402,4
78.94,-67.96,13,12,12,12.08,4
79.03,-49.19,3,2,3,2.925,3
79.03,-23.7,2,0,1,1.243,2
79.05,-41.83,3,1,2,1.786,3
79.13,-73.54,13,12,12,12.476,4
79.13,-64.82,13,12,12,12.139,4
79.21,-64.48,13,12,12,12.157,4
-79.36,-58.85,2,0,1,1.047,2
79.36,-56.85,13,12,13,12.62,4
79.39,-38.06,2,0,2,1.788,3
79.4,-61.25,13,12,12,12.413,4
79.53,-57.16,13,12,13,12.609,4
-79.55,-5.992,0,0,0,0,nan
79.59,-73.94,13,12,12,12.491,4
79.64,-75.84,13,12,13,12.58,4
-79.71,-0.2331,0,0,0,0,nan
-79.79,-45,1,0,1,0.915,1
80.1,-40.16,2,0,2,1.931,3
80.14,-54.64,10,7,9,8.468,4
80.24,-41.72,3,1,2,1.786,3
80.31,-69.12,13,12,12,12.069,4
80.35,-53.54,8,6,6,6.506,4
-80.46,-15.54,0,0,0,0,nan
80.65,-56.69,13,12,13,12.617,4
80.74,-41.4,3,1,2,1.788,3
80.76,-76.2,13,12,13,12.587,4
-81.02,-8.284,0,0,0,0,nan
81.05,-66.06,12,11,12,11.861,4
81.22,-6.291,2,0,1,1.168,1
81.65,-63.54,13,12,12,12.106,4
-81.86,-57.11,2,0,1,1.022,2
81.89,-66.35,12,11,12,11.724,4
82.34,-75.67,13,12,13,12.561,4
82.36,-58.02,13,12,13,12.55,4
82.5,-36.13,2,0,2,1.696,3
82.53,-66.12,12,11,12,11.635,4
82.59,-54.58,11,8,9,9.43,4
82.64,-47.42,3,2,3,2.714,3
82.74,-69.38,12,11,12,11.943,4
82.78,-50.57,5,2,4,3.744,3
82.93,-39.95,2,0,2,1.935,3
83.03,-77,13,12,13,12.613,4
83.14,-82.86,5,2,4,3.77,3
83.16,-81.52,6,4,5,4.983,3
83.22,-55.65,13,12,13,12.635,4
83.41,-66.72,12,11,11,11.417,4
83.43,-77.76,13,12,13,12.635,4
83.53,-29.55,3,0,1,1.541,2
83.62,-66.74,12,11,11,11.365,4
83.63,-76.98,13,12,13,12.609,4
83.91,-54.84,13,11,11,11.469,4
84.02,-54.3,10,8,9,9.113,4
84.03,-50.25,5,2,4,3.599,3
-84.37,-44.11,1,0,1,0.908,1
-84.6,-1.382,0,0,0,0,nan
84.87,-59.55,13,12,12,12.439,4
-84.91,-77.97,2,0,2,1.48,3
-84.98,-8.346,0,0,0,0,nan
85.04,-60.44,13,12,12,12.365,4
85.07,-58.85,13,12,12,12.483,4
85.26,-60.28,13,12,12,12.376,4
85.39,-59.05,13,12,12,12.469,4
85.6,-59.14,13,12,12,12.461,4
85.65,-73.65,13,12,12,12.428,4
85.72,-66.27,11,10,11,10.606,4
85.79,-75.65,13,12,13,12.55,4
86.49,-65.44,11,10,11,10.717,4
86.5,-0.6447,1,0,1,0.929,1
86.58,-7.204,2,0,1,0.983,2
86.7,-19.84,2,0,1,1.172,2
86.78,-60.05,13,12,12,12.38,4
