RA,DEC,max,min,med,avg,camera
144.9,-69.62,3,2,3,2.642,3
144.9,-69.62,3,2,3,2.642,3
144.9,-69.62,3,2,3,2.642,3
144.9,-87.75,3,2,2,2.358,3
144.9,-87.75,3,2,2,2.358,3
144.9,-87.75,3,2,2,2.358,3
145,-40.48,2,0,1,1.336,2
145,-40.48,2,0,1,1.336,2
150.6,-67.89,3,2,2,2.321,3
150.6,-67.89,3,2,2,2.321,3
150.6,-67.89,3,2,2,2.321,3
150.6,-67.89,3,2,2,2.321,3
150.6,-67.89,3,2,2,2.321,3
151,-45.6,3,0,1,1.42,2
151,-45.6,3,0,1,1.42,2
154.2,-64.06,3,1,2,1.788,3
154.2,-64.06,3,1,2,1.788,3
154.2,-64.06,3,1,2,1.788,3
154.2,-64.06,3,1,2,1.788,3
154.2,-64.06,3,1,2,1.788,3
159.3,-82.07,3,2,2,2.398,3
159.3,-82.07,3,2,2,2.398,3
163.3,-33.02,2,0,1,1.06,2
163.3,-33.02,2,0,1,1.06,2
163.3,-33.02,2,0,1,1.06,2
168.2,-49.56,2,0,1,1.294,2
168.2,-49.56,2,0,1,1.294,2
168.3,-83.35,3,2,2,2.275,3
168.3,-83.35,3,2,2,2.275,3
168.3,-83.35,3,2,2,2.275,3
170.8,-68.48,2,0,2,1.813,3
170.8,-68.48,2,0,2,1.813,3
170.8,-68.48,2,0,2,1.813,3
170.8,-68.48,2,0,2,1.813,3
176.6,-58.01,3,0,1,1.428,2
176.6,-58.01,3,0,1,1.428,2
185.4,-84.93,3,0,1,1.621,3
185.4,-84.93,3,0,1,1.621,3
185.4,-84.93,3,0,1,1.621,3
187.3,-29.27,1,0,1,0.927,1
187.3,-29.27,1,0,1,0.927,1
187.5,-44.74,2,0,1,1.074,2
187.5,-44.74,2,0,1,1.074,2
187.5,-44.74,2,0,1,1.074,2
187.9,-81.94,3,1,2,1.788,3
187.9,-81.94,3,1,2,1.788,3
187.9,-81.94,3,1,2,1.788,3
187.9,-81.94,3,1,2,1.788,3
188.5,-66.04,2,0,2,1.478,3
188.5,-66.04,2,0,2,1.478,3
188.5,-66.04,2,0,2,1.478,3
188.5,-66.04,2,0,2,1.478,3
189.8,-64.12,3,0,1,1.541,2
189.8,-64.12,3,0,1,1.541,2
194.3,-60.15,2,0,1,1.284,2
194.3,-60.15,2,0,1,1.284,2
194.3,-60.15,2,0,1,1.284,2
204.6,-28.93,1,0,1,0.846,1
204.6,-28.93,1,0,1,0.846,1
204.6,-0.4109,0,0,0,0,nan
204.6,-0.4109,0,0,0,0,nan
206.5,-45.67,2,0,1,1.002,2
206.5,-45.67,2,0,1,1.002,2
208.9,-52.34,2,0,1,1.074,2
208.9,-52.34,2,0,1,1.074,2
208.9,-52.34,2,0,1,1.074,2
210.9,-57.85,2,0,0,0.539,2
210.9,-57.85,2,0,0,0.539,2
212.9,-77.08,2,0,2,1.619,3
212.9,-77.08,2,0,2,1.619,3
213.5,-63.17,2,0,1,1.23,2
213.5,-63.17,2,0,1,1.23,2
213.5,-63.17,2,0,1,1.23,2
220.6,-24.34,1,0,1,0.854,1
220.6,-24.34,1,0,1,0.854,1
222.1,-75.29,2,0,2,1.499,3
222.1,-75.29,2,0,2,1.499,3
222.1,-75.29,2,0,2,1.499,3
225.9,-78.11,2,0,2,1.585,3
225.9,-78.11,2,0,2,1.585,3
226,-46.89,1,0,1,0.96,1
226,-46.89,1,0,1,0.96,1
226,-46.89,1,0,1,0.96,1
226,-46.89,1,0,1,0.96,1
231,-69.11,2,0,1,1.284,2
231,-69.11,2,0,1,1.284,2
231,-69.11,2,0,1,1.284,2
232.5,-72.73,2,0,1,1.37,2
232.5,-72.73,2,0,1,1.37,2
232.5,-72.73,2,0,1,1.37,2
232.5,-72.73,2,0,1,1.37,2
234.3,-57.39,2,0,1,1.063,2
234.3,-57.39,2,0,1,1.063,2
237.1,-66.06,2,0,1,1.201,2
237.1,-66.06,2,0,1,1.201,2
238.7,-6.886,0,0,0,0,nan
238.7,-6.886,0,0,0,0,nan
238.7,-6.886,0,0,0,0,nan
243.6,-70.19,2,0,1,1.275,2
243.6,-70.19,2,0,1,1.275,2
243.6,-70.19,2,0,1,1.275,2
245.4,-73.62,2,0,1,1.36,2
245.4,-73.62,2,0,1,1.36,2
247.1,-44.36,1,0,1,0.917,1
247.1,-44.36,1,0,1,0.917,1
247.4,-41.93,1,0,1,0.903,1
247.4,-41.93,1,0,1,0.903,1
247.4,41.93,0,0,0,0,nan
248.4,-45.42,1,0,1,0.923,1
248.4,-45.42,1,0,1,0.923,1
248.4,-45.42,1,0,1,0.923,1
248.4,-45.42,1,0,1,0.923,1
248.4,-45.42,1,0,1,0.923,1
248.4,61.16,0,0,0,0,nan
248.4,61.16,0,0,0,0,nan
248.4,61.16,0,0,0,0,nan
253.5,37.34,0,0,0,0,nan
253.5,37.34,0,0,0,0,nan
253.5,37.34,0,0,0,0,nan
253.6,81.18,0,0,0,0,nan
253.6,81.18,0,0,0,0,nan
253.6,81.18,0,0,0,0,nan
253.6,81.18,0,0,0,0,nan
253.6,81.18,0,0,0,0,nan
253.7,-71.44,2,0,1,1.287,2
253.7,-71.44,2,0,1,1.287,2
253.7,-71.44,2,0,1,1.287,2
254.5,-56.06,2,0,1,1.014,2
254.5,-56.06,2,0,1,1.014,2
254.5,-56.06,2,0,1,1.014,2
255.5,-6.092,0,0,0,0,nan
255.5,-6.092,0,0,0,0,nan
256.2,-78.45,2,0,2,1.507,3
256.2,-78.45,2,0,2,1.507,3
256.3,-80.31,2,0,2,1.587,3
256.3,-80.31,2,0,2,1.587,3
