Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
1258.01      ; 1                  ;      42.51   ;      +0.35                ;      -0.32                    ;   235;     88                      ;      0.117         ;     -7.153         ;      4.923         ;      0.982         ;       13.8  ;       +1.3               ;       -1.3                   ;      186.4      ;       +6.5                   ;       -6.5                       ; 1                ;  2.04        ;  --           ;        88.  ;         ; Kepler-281 c; 
1270.01      ; 0                  ;      22.44   ;      +0.49                ;      -0.52                    ;   446;     41                      ;      0.260         ;     -3.396         ;      3.717         ;      0.963         ;       4.77  ;      +0.64               ;      -0.67                   ;        376      ;        +16                   ;        -17                       ; 1                ;  1.13        ;  --           ;        672  ; 2, 5        ; Kepler-57 b; 
1270.02      ; 0                  ;      22.12   ;      +0.18                ;      -0.17                    ;   452;    286                      ;      0.402         ;     -6.136         ;     23.579         ;      0.997         ;       35.9  ;       +1.9               ;       -2.0                   ;      162.3      ;       +6.5                   ;       -6.0                       ; 1                ;  1.19        ; 31.9 +/-2.8          ;        117  ; 1, 2, 3, 5        ; Kepler-57 c; 
1278.01      ; 0                  ;      106.3   ;       +1.1                ;       -1.0                    ;    94;     28                      ;      0.145         ;     -3.944         ;      1.834         ;      0.977         ;       13.8  ;       +2.9               ;       -3.1                   ;      173.2      ;       +9.1                   ;       -7.9                       ;  0.998           ;  1.04        ;  --           ;        391  ; 2        ; Kepler-282 d; 
1278.02      ; 0                  ;       50.4   ;       +1.3                ;       -1.2                    ;   198;     20                      ;      0.245         ;     -2.472         ;      2.055         ;      0.974         ;       13.6  ;       +3.4               ;       -3.4                   ;        288      ;        +15                   ;        -15                       ;  0.991           ;  1.42        ;  --           ;        69.  ; 2        ; Kepler-282 e; 
1287.01      ; 1                  ;     14.414   ;     +0.063                ;     -0.059                    ;   694;   6348                      ;      0.218         ;    -48.198         ;    529.434         ;      0.970         ;      32.83  ;      +0.48               ;      -0.36                   ;      724.6      ;       +2.5                   ;       -1.2                       ; 1                ;  1.76        ; [28.6, 54.8, 531.3, 1128.1] +/-3.7          ;        177  ;         ; Depth variations; 
1298.02      ; 0                  ;       6.78   ;      +0.88                ;      -0.90                    ;  1474;     65                      ;      2.088         ;     -6.030         ;      5.210         ;      0.822         ;         82  ;        +19               ;        -13                   ;       1006      ;        +22                   ;        -21                       ;  0.997           ;  1.13        ;  --           ;        5.9  ;         ; Kepler-283 c; 
1302.01      ; 1                  ;       7.56   ;      +0.65                ;      -0.69                    ;  1322;     67                      ;      0.272         ;     -5.908         ;      6.072         ;      0.980         ;       17.3  ;       +2.1               ;       -2.0                   ;       1262      ;        +55                   ;        -42                       ; 1                ;  1.20        ;  --           ;        168  ;         ; ; 
1307.01      ; 1                  ;      14.13   ;      +0.53                ;      -0.48                    ;   708;     39                      ;      0.123         ;     -4.982         ;      1.783         ;      0.966         ;       13.7  ;       +2.8               ;       -2.2                   ;        676      ;        +16                   ;        -19                       ; 1                ;  1.21        ; 106.4 +/-2.5          ;        3.4  ;         ; Kepler-287 c; 
1314.01      ; 0                  ;     268.27   ;      +0.63                ;      -0.92                    ;    37;     58                      ;      0.304         ;     -4.289         ;      7.911         ;      0.949         ;       17.5  ;       +4.6               ;       -2.8                   ;      144.9      ;       +2.1                   ;       -3.6                       ;  0.998           ;  1.56        ;  --           ;        767  ;         ; ; 
1336.01      ; 0                  ;      28.46   ;     +11.97                ;      -0.19                    ;   351;     51                      ;      0.478         ;     -3.045         ;      3.979         ;      0.859         ;       23.4  ;       +1.5               ;       -7.6                   ;      134.6      ;       +7.3                   ;       -5.2                       ;  0.998           ;  1.15        ;  --           ;        81.  ; 2        ; Kepler-58 b; 
1336.02      ; 0                  ;      31.35   ;      +0.50                ;      -0.50                    ;   319;     68                      ;      0.162         ;     -4.080         ;      3.164         ;      0.985         ;       31.9  ;       +5.6               ;       -4.1                   ;        367      ;        +10                   ;        -10                       ; 1                ;  1.11        ;  --           ;        103  ; 2        ; Kepler-58 c; 
1353.01      ; 0                  ;      10.89   ;      +0.24                ;      -0.63                    ;   919;    403                      ;      0.115         ;    -45.358         ;     21.836         ;      0.983         ;       5.50  ;      +0.36               ;      -0.30                   ;      758.0      ;       +6.2                   ;       -8.2                       ; 1                ;  1.77        ; [30.0, 39.6] +/-3.1          ;        66.  ; 1        ; Kepler-289 c; 
1366.01      ; 1                  ;      33.43   ;      +0.65                ;      -0.63                    ;   299;     39                      ;      0.223         ;     -4.045         ;      2.831         ;      0.968         ;       10.1  ;       +1.5               ;       -1.6                   ;        392      ;        +12                   ;        -12                       ; 1                ;  1.10        ;  --           ;        140  ;         ; Kepler-293 b; 
1391.01      ; 0                  ;     408.77   ;      +0.98                ;      -0.79                    ;    24;   -224                      ;      0.240         ;     -2.760         ;      1.673         ;      0.970         ;      0.351  ;     +0.075               ;     -0.078                   ;      156.3      ;       +2.2                   ;       -1.7                       ;  0.991           ;  1.12        ;  --           ;        739  ;         ; Bad linear fit, Bad Linear Fit, ; 
1426.01      ; 0                  ;       8.91   ;      +0.33                ;      -0.28                    ;  1123;    284                      ;      0.260         ;     -8.050         ;     22.279         ;      0.990         ;       45.8  ;       +2.5               ;       -2.5                   ;        459      ;        +19                   ;        -23                       ; 1                ;  1.17        ;  --           ;        48.  ; 1, 3        ; Kepler-297 b; 
1426.02      ; 0                  ;       4.65   ;      +0.44                ;      -0.39                    ;  2152;   1607                      ;      1.273         ;    -46.772         ;    131.783         ;      0.979         ;         84  ;        +14               ;        -12                   ;       1210      ;        +19                   ;        -17                       ; 1                ;  2.39        ; [17.8, 45.9, 66.7] +/-2.2          ;        126  ; 1, 3        ; Kepler-297 c; 
1426.03      ; 0                  ;       8.32   ;      +0.39                ;      -0.25                    ;  1201;    631                      ;      0.109         ;    -43.473         ;     30.271         ;      0.989         ;       29.4  ;       +1.4               ;       -1.6                   ;        184      ;        +26                   ;        -21                       ; 1                ;  1.68        ;  --           ;        63.  ; 1        ; ; 
1429.01      ; 0                  ;      11.99   ;      +0.67                ;      -0.73                    ;   834;     29                      ;      0.356         ;     -8.081         ;      2.363         ;      0.906         ;       19.8  ;       +3.0               ;       -3.3                   ;        266      ;        +21                   ;        -23                       ;  0.998           ;  1.06        ;  --           ;        46.  ; 1        ; ; 
1458.01      ; 0                  ;    214.167   ;     +0.087                ;     -0.083                    ;    47;   2324                      ;      0.460         ;    -59.513         ;    170.375         ;      0.964         ;       33.4  ;       +0.7               ;       -1.1                   ;     367.03      ;      +0.31                   ;      -0.26                       ; 1                ;  3.30        ; [187.3, 241.3] +/-3.3          ;        592  ; 1        ; ; 
1473.01      ; 0                  ;      52.98   ;      +0.76                ;      -0.64                    ;   189;     34                      ;      0.278         ;     -4.593         ;      3.543         ;      0.874         ;       4.14  ;      +0.83               ;      -0.84                   ;      456.8      ;       +8.5                   ;       -8.8                       ;  0.996           ;  1.27        ;  --           ;        251  ;         ; ; 
1474.01      ; 0                  ;     13.980   ;     +0.025                ;     -0.030                    ;   715;  10476                      ;      0.415         ;   -497.278         ;   2108.163         ;      0.642         ;      40.37  ;      +0.45               ;      -0.36                   ;      351.1      ;       +1.9                   ;       -1.8                       ; 1                ;  5.82        ; [5.7, 38.0, 62.3] +/-2.1          ;        42.  ; 1        ; Kepler-419 b; 
1476.01      ; 2                  ;        5.5   ;       +0.9                ;       -1.1                    ;  1821;    170                      ;      0.144         ;     -9.624         ;     10.760         ;      0.978         ;       47.6  ;      +19.3               ;       -7.0                   ;        523      ;        +35                   ;        -44                       ; 1                ;  1.12        ; 17.0 +/-3.0          ;        26.  ; 1        ; ; 
1477.01      ; 2                  ;       14.4   ;       +0.5                ;       -1.3                    ;   693;   2045                      ;      0.141         ;   -110.107         ;     79.230         ;      1.000         ;       64.1  ;       +4.8               ;       -7.7                   ;      495.7      ;       +4.5                   ;       -9.0                       ; 1                ;  2.57        ; 29.4 +/-5.3          ;        49.  ; 1        ; ; 
1478.01      ; 0                  ;       9.41   ;      +0.18                ;      -0.23                    ;  1062;    451                      ;      0.086         ;    -39.908         ;     22.996         ;      0.990         ;      11.04  ;      +0.36               ;      -0.38                   ;      976.2      ;       +5.6                   ;       -6.3                       ; 1                ;  1.40        ; [20.4, 35.0] +/-2.6          ;        1.7  ; 1        ; ; 
1525.02      ; 1                  ;      85.11   ;      +0.15                ;      -0.21                    ;   117;     94                      ;      0.835         ;     -8.896         ;      8.367         ;      0.839         ;      17.44  ;      +0.74               ;      -0.86                   ;      235.3      ;       +1.1                   ;       -1.5                       ; 1                ;  1.61        ;  --           ;        660  ;         ; ; 
1527.01      ; 2                  ;       4.71   ;      +1.24                ;      -0.80                    ;  2125;     22                      ;      0.172         ;     -4.572         ;      1.435         ;      0.957         ;       26.2  ;      +10.4               ;       -6.4                   ;        320      ;       +116                   ;       -136                       ;  0.999           ;  1.06        ;  --           ;        44.  ; 1        ; ; 
1529.01      ; 0                  ;      16.36   ;      +0.19                ;      -0.18                    ;   611;    219                      ;      0.611         ;     -4.333         ;     13.655         ;      0.996         ;       78.0  ;       +3.3               ;       -3.6                   ;      560.8      ;       +4.8                   ;       -5.3                       ; 1                ;  1.08        ;  --           ;        444  ; 1        ; Kepler-59 c; 
1529.02      ; 1                  ;      17.21   ;      +0.58                ;      -0.77                    ;   581;     47                      ;      0.561         ;     -1.908         ;      2.567         ;      0.979         ;       59.5  ;       +6.1               ;       -8.8                   ;        288      ;        +24                   ;        -34                       ; 1                ;  1.06        ;  --           ;        741  ;         ; Kepler-59 b; 
1546.01      ; 0                  ;     68.967   ;     +0.043                ;     -0.039                    ;   145;   7403                      ;      0.188         ;    -36.874         ;    521.452         ;      0.966         ;      1.387  ;     +0.016               ;     -0.016                   ;     268.97      ;      +0.46                   ;      -0.45                       ; 1                ;  2.43        ; (>5)          ;        985  ; 1        ; ; 
1557.01      ; 0                  ;    1336.46   ;      +0.61                ;      -0.60                    ;     7;     48                      ;      0.422         ;     -1.971         ;      4.285         ;      0.857         ;       1.90  ;      +0.27               ;      -0.28                   ;     140.00      ;      +0.28                   ;      -0.31                       ;  0.992           ;  1.09        ;  --           ;        872  ;         ; Kepler-304 b; 
1573.01      ; 0                  ;       6.85   ;      +0.32                ;      -0.24                    ;  1460;   2318                      ;      0.229         ;    -41.256         ;     82.884         ;      0.993         ;       79.5  ;       +5.4               ;       -6.1                   ;      768.8      ;       +2.3                   ;       -2.2                       ; 1                ;  1.82        ; [19.8, 27.6, 49.5, 58.0, 195.1] +/-2.5          ;        93.  ; 1        ; ; 
1573.02      ; 0                  ;      24.19   ;      +0.71                ;      -0.73                    ;   413;     37                      ;      0.262         ;     -2.147         ;      2.436         ;      0.951         ;       21.0  ;       +4.1               ;       -6.6                   ;        435      ;        +16                   ;        -28                       ;  0.992           ;  1.11        ;  --           ;        383  ;         ; ; 
1574.01      ; 0                  ;      17.48   ;      +0.52                ;      -0.49                    ;   572;    116                      ;      0.313         ;    -12.582         ;     16.221         ;      0.814         ;      10.93  ;      +1.01               ;      -0.97                   ;        574      ;        +11                   ;        -11                       ; 1                ;  1.22        ; [7.0, 27.8] +/-3.0          ;        2.7  ; 1        ; Kepler-87 b; 
1576.02      ; 0                  ;      18.77   ;      +0.53                ;      -0.46                    ;   533;     71                      ;      0.894         ;     -3.364         ;     12.257         ;      0.854         ;       10.3  ;       +1.3               ;       -1.2                   ;        231      ;        +25                   ;        -24                       ; 1                ;  1.21        ;  --           ;        249  ; 1, 2, 4, 5        ; Kepler-307 c; 
1581.01      ; 0                  ;      10.70   ;      +0.29                ;      -0.24                    ;   935;    151                      ;      0.459         ;     -4.302         ;     14.614         ;      0.980         ;       93.2  ;       +7.1               ;       -7.4                   ;        238      ;        +20                   ;        -18                       ; 1                ;  1.24        ; 33.8 +/-3.2          ;        260  ; 1        ; ; 
1582.01      ; 0                  ;       7.43   ;      +0.34                ;      -0.21                    ;  1347;   1053                      ;      0.458         ;    -46.762         ;     62.946         ;      0.992         ;       87.3  ;       +4.1               ;       -4.7                   ;      924.6      ;       +5.2                   ;       -4.9                       ; 1                ;  3.23        ; 19.1 +/-2.7          ;        35.  ; 1        ; ; 
1589.02      ; 0                  ;      35.98   ;      +0.53                ;      -0.63                    ;   278;     26                      ;      0.191         ;     -1.450         ;      2.882         ;      0.932         ;       21.6  ;       +3.4               ;       -3.6                   ;        163      ;        +11                   ;        -11                       ;  0.999           ;  1.10        ;  --           ;        369  ; 2, 3        ; Kepler-84 c; 
1598.01      ; 1                  ;      79.89   ;      +0.58                ;      -0.65                    ;   125;     24                      ;      0.381         ;     -4.177         ;      3.516         ;      0.872         ;        8.2  ;       +1.7               ;       -1.5                   ;      149.4      ;       +4.5                   ;       -6.8                       ;  0.999           ;  1.10        ;  --           ;        155  ;         ; Kepler-310 c; 
1599.02      ; 0                  ;       6.64   ;      +0.54                ;      -0.46                    ;  1507;    139                      ;      1.046         ;     -3.778         ;      2.090         ;      0.947         ;         79  ;         +9               ;        -10                   ;      969.7      ;       +9.2                   ;       -8.7                       ;  0.992           ;  1.10        ;  --           ;        276  ;         ; ; 
1601.02      ; 1                  ;        5.5   ;       +1.7                ;       -1.2                    ;  1826;     57                      ;      0.680         ;     -3.230         ;      2.906         ;      0.981         ;         64  ;        +22               ;        -14                   ;       1310      ;        +97                   ;       -120                       ; 1                ;  1.11        ;  --           ;        55.  ;         ; ; 
1628.01      ; 0                  ;      21.15   ;      +0.50                ;      -0.73                    ;   473;     53                      ;      0.230         ;     -4.846         ;      6.374         ;      0.971         ;       8.28  ;      +0.81               ;      -0.96                   ;        335      ;        +17                   ;        -25                       ; 1                ;  1.20        ;  --           ;        210  ; 1        ; Kepler-312 c; 
1675.01      ; 0                  ;      18.85   ;      +0.42                ;      -0.47                    ;   530;     80                      ;      0.284         ;     -4.058         ;      7.448         ;      0.992         ;       16.9  ;       +1.7               ;       -1.5                   ;        543      ;        +12                   ;        -12                       ; 1                ;  1.08        ;  --           ;        466  ; 1        ; ; 
1681.02      ; 0                  ;     842.63   ;      +0.61                ;      -0.41                    ;    12;     34                      ;      0.407         ;     -1.510         ;      1.396         ;      0.984         ;       11.1  ;       +1.8               ;       -1.5                   ;     139.08      ;      +0.72                   ;      -0.44                       ;  0.993           ;  1.68        ;  --           ;        263  ;         ; ; 
1707.01      ; 2                  ;       4.90   ;      +1.69                ;      -0.94                    ;  2043;    104                      ;      0.386         ;     -7.177         ;      8.612         ;      0.949         ;        125  ;        +69               ;        -45                   ;       1640      ;       +226                   ;       -243                       ; 1                ;  1.04        ;  --           ;        47.  ; 1        ; Kepler-315 b; 
1720.01      ; 2                  ;        8.1   ;       +1.1                ;       -1.4                    ;  1239;     55                      ;      0.216         ;     -6.206         ;      4.180         ;      0.979         ;       33.9  ;       +4.7               ;       -4.8                   ;        570      ;        +45                   ;       -116                       ; 1                ;  1.96        ;  --           ;        106  ; 1        ; ; 
1751.02      ; 2                  ;       2.87   ;      +0.98                ;      -0.35                    ;  3486;    835                      ;      0.935         ;    -15.495         ;     61.854         ;      0.998         ;        176  ;        +48               ;        -69                   ;       1630      ;       +124                   ;       -178                       ; 1                ;  1.45        ; [23.1, 37.8] +/-2.4          ;        273  ; 1        ; ; 
1781.01      ; 2                  ;       7.34   ;      +0.72                ;      -0.60                    ;  1363;    321                      ;      0.281         ;    -15.485         ;     19.380         ;      0.967         ;       2.17  ;      +0.19               ;      -0.16                   ;        373      ;        +60                   ;        -47                       ; 1                ;  2.70        ;  --           ;        523  ; 1        ; ; 
1781.03      ; 0                  ;     11.559   ;     +0.067                ;     -0.087                    ;   865;   1752                      ;      0.339         ;   -103.035         ;    172.317         ;      0.970         ;      34.85  ;      +0.67               ;      -0.63                   ;      693.3      ;       +2.4                   ;       -2.9                       ; 1                ;  2.65        ; [31.3, 46.2, 57.1] +/-3.1          ;        84.  ; 1        ; ; 
1783.02      ; 2                  ;      10.60   ;      +1.53                ;      -0.77                    ;   943;    264                      ;      0.440         ;    -25.532         ;     20.803         ;      0.983         ;       55.3  ;       +3.2               ;       -2.6                   ;        796      ;        +14                   ;        -12                       ; 1                ;  1.47        ;  --           ;        2.4  ; 1        ; ; 
1802.01      ; 0                  ;      42.96   ;      +0.25                ;      -0.19                    ;   233;    291                      ;      0.240         ;     -7.258         ;     12.953         ;      0.994         ;       7.80  ;      +0.33               ;      -0.48                   ;      305.9      ;       +2.8                   ;       -2.6                       ; 1                ;  1.12        ;  --           ;        164  ; 1        ; ; 
1804.01      ; 0                  ;     425.20   ;      +0.36                ;      -0.36                    ;    24;    103                      ;      0.290         ;     -6.365         ;     10.657         ;      0.955         ;       2.03  ;      +0.19               ;      -0.17                   ;     134.83      ;      +0.76                   ;      -0.75                       ; 1                ;  1.68        ;  --           ;        171  ; 1        ; ; 
1805.01      ; 1                  ;      44.68   ;      +0.48                ;      -0.46                    ;   224;     62                      ;      0.073         ;     -3.738         ;      2.991         ;      0.989         ;       3.51  ;      +0.46               ;      -0.45                   ;      229.4      ;       +8.0                   ;       -8.1                       ; 1                ;  1.09        ;  --           ;        101  ;         ; Kepler-319 c, Active star; 
1809.02      ; 0                  ;     733.30   ;      +0.55                ;      -0.22                    ;    14;     45                      ;      0.325         ;     -2.908         ;      3.316         ;      0.959         ;       3.27  ;      +0.65               ;      -0.41                   ;     140.44      ;      +0.39                   ;      -0.38                       ;  0.998           ;  1.14        ;  --           ;        112  ;         ; Kepler-321 b; 
1814.01      ; 0                  ;     125.22   ;      +0.10                ;      -0.10                    ;    80;   1067                      ;      0.147         ;    -39.077         ;     50.889         ;      0.991         ;       34.2  ;       +1.1               ;       -1.6                   ;     154.67      ;      +0.67                   ;      -0.78                       ; 1                ;  2.43        ; 192.1 +/-3.1          ;        224  ; 1        ; ; 
1830.01      ; 1                  ;      15.49   ;      +0.67                ;      -0.75                    ;   645;     41                      ;      0.361         ;     -4.389         ;      2.684         ;      0.969         ;        7.5  ;       +1.0               ;       -1.3                   ;        701      ;        +16                   ;        -16                       ; 1                ;  1.15        ;  --           ;        244  ;         ; ; 
1831.01      ; 2                  ;       4.24   ;      +1.38                ;      -0.47                    ;  2361;    216                      ;      0.263         ;    -13.221         ;      6.542         ;      0.993         ;         84  ;        +21               ;        -28                   ;       1480      ;       +128                   ;       -159                       ; 1                ;  1.12        ; [18.4, 36.0, 60.3] +/-2.9          ;        103  ; 1        ; Kepler-324 c; 
1832.03      ; 1                  ;       8.46   ;      +0.53                ;      -0.49                    ;  1182;     33                      ;      0.078         ;     -3.053         ;      1.234         ;      0.985         ;       17.2  ;       +2.1               ;       -2.2                   ;        496      ;        +35                   ;        -37                       ;  0.999           ;  1.23        ;  --           ;        167  ;         ; Kepler-325 d; 
1838.01      ; 2                  ;       4.83   ;      +1.49                ;      -0.81                    ;  2071;     89                      ;      0.429         ;     -6.172         ;      5.903         ;      0.950         ;       12.5  ;       +3.3               ;       -2.4                   ;        280      ;       +200                   ;       -117                       ; 1                ;  1.20        ;  --           ;        37.  ; 1        ; ; 
1840.01      ; 0                  ;      17.27   ;      +0.25                ;      -0.22                    ;   579;    172                      ;      0.518         ;     -7.435         ;     27.732         ;      0.640         ;      12.53  ;      +0.91               ;      -0.86                   ;      332.6      ;       +8.7                   ;       -9.6                       ; 1                ;  1.24        ; 27.0 +/-2.8          ;        703  ; 1        ; ; 
1841.01      ; 1                  ;      11.78   ;      +0.48                ;      -0.44                    ;   849;     44                      ;      0.396         ;     -6.485         ;      3.590         ;      0.934         ;        7.5  ;       +1.1               ;       -1.3                   ;        544      ;        +23                   ;        -18                       ; 1                ;  1.07        ;  --           ;        148  ;         ; ; 
1848.01      ; 2                  ;       3.51   ;      +0.72                ;      -0.68                    ;  2850;    118                      ;      0.160         ;     -7.686         ;      8.133         ;      0.959         ;         49  ;        +22               ;        -13                   ;        150      ;       +123                   ;       -169                       ; 1                ;  1.17        ; 15.3 +/-2.1          ;        88.  ; 1        ; ; 
1854.01      ; 0                  ;        9.1   ;       +0.6                ;       -1.0                    ;  1097;     75                      ;      0.516         ;     -7.018         ;      4.905         ;      0.977         ;       15.3  ;       +2.5               ;       -2.0                   ;        976      ;        +25                   ;        -22                       ; 1                ;  1.13        ;  --           ;        7.6  ; 1        ; ; 
1856.01      ; 0                  ;       8.41   ;      +0.13                ;      -0.15                    ;  1189;    692                      ;      0.350         ;    -13.193         ;     72.260         ;      0.962         ;       80.1  ;       +1.9               ;       -1.9                   ;     1229.0      ;      +10.3                   ;       -8.4                       ; 1                ;  1.26        ;  --           ;        185  ; 1        ; ; 
1873.01      ; 0                  ;       31.9   ;       +1.4                ;       -1.3                    ;   313;     18                      ;      0.119         ;     -3.900         ;      1.089         ;      0.976         ;       14.2  ;       +4.0               ;       -3.8                   ;        502      ;        +13                   ;        -13                       ;  0.991           ;  1.11        ;  --           ;        136  ; 1, 2        ; Kepler-328 c; 
1889.02      ; 1                  ;     115.61   ;      +0.58                ;      -0.54                    ;    86;     37                      ;      0.535         ;     -1.882         ;      3.960         ;      0.944         ;       28.9  ;       +2.9               ;       -7.0                   ;      141.1      ;       +2.1                   ;       -5.1                       ; 1                ;  1.21        ;  --           ;        385  ;         ; ; 
1890.01      ; 1                  ;      993.3   ;       +1.3                ;       -1.7                    ;    10;     42                      ;      0.234         ;     -3.061         ;      5.036         ;      0.899         ;        4.4  ;       +2.2               ;       -1.1                   ;     138.08      ;      +0.56                   ;      -0.93                       ; 1                ;  1.33        ;  --           ;        506  ;         ; ; 
1897.01      ; 1                  ;      11.46   ;      +0.64                ;      -0.84                    ;   873;     40                      ;      0.391         ;     -6.407         ;      5.205         ;      0.977         ;       16.5  ;       +2.1               ;       -2.2                   ;        763      ;        +21                   ;        -19                       ; 1                ;  1.09        ; 74.9 +/-3.6          ;        24.  ;         ; ; 
1907.01      ; 0                  ;      15.48   ;      +0.73                ;      -0.68                    ;   646;     58                      ;      0.578         ;     -3.340         ;      6.219         ;      0.881         ;        8.7  ;       +1.3               ;       -1.1                   ;        621      ;        +16                   ;        -17                       ; 1                ;  1.11        ;  --           ;        405  ; 1        ; ; 
1914.01      ; 0                  ;     162.19   ;      +0.68                ;      -0.77                    ;    62;     32                      ;      0.603         ;     -5.466         ;      4.672         ;      0.886         ;        8.6  ;       +1.4               ;       -1.1                   ;      185.8      ;       +3.0                   ;       -2.5                       ;  0.994           ;  1.22        ;  --           ;        232  ;         ; ; 
1915.02      ; 1                  ;      60.17   ;      +0.67                ;      -0.53                    ;   166;     41                      ;      0.839         ;     -6.492         ;      2.413         ;      0.883         ;         42  ;        +11               ;        -11                   ;      173.9      ;       +8.2                   ;       -7.3                       ;  0.999           ;  1.13        ;  --           ;        21.  ;         ; Kepler-335 c; 
1934.01      ; 0                  ;      28.54   ;      +0.51                ;      -0.47                    ;   350;     53                      ;      0.217         ;     -4.527         ;      6.031         ;      0.900         ;       14.3  ;       +1.7               ;       -1.8                   ;        237      ;        +14                   ;        -12                       ; 1                ;  1.11        ; 18.7 +/-2.4          ;        204  ; 1        ; ; 
1944.01      ; 1                  ;     350.75   ;      +0.66                ;      -0.62                    ;    29;     25                      ;      0.339         ;     -2.963         ;      3.734         ;      0.881         ;        7.4  ;       +1.6               ;       -1.5                   ;      156.8      ;       +1.5                   ;       -1.5                       ;  0.999           ;  1.11        ;  --           ;        229  ;         ; ; 
1955.02      ; 2                  ;       6.18   ;      +0.72                ;      -0.99                    ;  1619;     63                      ;      0.420         ;     -4.272         ;      3.681         ;      0.941         ;       37.9  ;       +7.8               ;       -5.5                   ;        420      ;        +45                   ;        -97                       ; 1                ;  1.15        ; 17.6 +/-2.5          ;        3.3  ; 1        ; Kepler-342 d; 
1955.04      ; 0                  ;        6.2   ;       +1.2                ;       -1.2                    ;  1618;     40                      ;      0.320         ;     -5.557         ;      4.153         ;      0.821         ;       20.6  ;       +4.2               ;       -3.5                   ;       1204      ;        +34                   ;        -82                       ; 1                ;  1.15        ;  --           ;        341  ; 1        ; Kepler-342 c; 
1958.01      ; 1                  ;      11.46   ;      +0.36                ;      -0.59                    ;   872;     50                      ;      0.269         ;     -4.642         ;      4.646         ;      0.925         ;        9.7  ;       +1.4               ;       -3.2                   ;        967      ;        +30                   ;        -18                       ; 1                ;  1.13        ;  --           ;        500  ;         ; Kepler-66 b; 
1973.01      ; 0                  ;      23.64   ;      +0.20                ;      -0.20                    ;   423;    245                      ;      0.143         ;     -4.620         ;     15.770         ;      0.994         ;       18.2  ;       +1.1               ;       -1.0                   ;      292.3      ;       +6.5                   ;       -6.8                       ; 1                ;  1.10        ;  --           ;        42.  ; 1        ; ; 
1977.01      ; 0                  ;      67.96   ;      +1.08                ;      -0.85                    ;   147;     27                      ;      0.239         ;     -2.556         ;      2.840         ;      0.965         ;        6.3  ;       +1.1               ;       -1.2                   ;        180      ;        +12                   ;        -10                       ;  0.998           ;  1.06        ;  --           ;        436  ;         ; Kepler-345 c; 
1981.01      ; 1                  ;    2190.11   ;      +0.69                ;      -0.56                    ;     5;     34                      ;      0.298         ;     -1.379         ;      3.752         ;      0.923         ;       4.75  ;      +0.54               ;      -0.77                   ;     135.67      ;      +0.19                   ;      -0.20                       ;  0.999           ;  1.24        ;  --           ;        563  ;         ; ; 
1999.01      ; 1                  ;       9.90   ;      +0.17                ;      -0.19                    ;  1010;    285                      ;      0.304         ;     -4.066         ;     29.869         ;      0.952         ;      10.40  ;      +0.57               ;      -0.58                   ;     1122.8      ;      +10.3                   ;       -9.8                       ; 1                ;  1.39        ;  --           ;        751  ;         ; ; 
2001.01      ; 1                  ;      41.38   ;      +0.70                ;      -0.53                    ;   242;     52                      ;      0.339         ;     -3.786         ;      6.362         ;      0.742         ;       10.3  ;       +1.3               ;       -1.3                   ;      314.9      ;       +8.8                   ;       -6.4                       ; 1                ;  1.39        ;  --           ;        106  ;         ; ; 
2013.01      ; 1                  ;    1270.80   ;      +0.81                ;      -0.77                    ;     8;     39                      ;      0.173         ;     -1.986         ;      2.931         ;      0.952         ;       5.79  ;      +0.80               ;      -0.97                   ;     135.93      ;      +0.69                   ;      -0.63                       ; 1                ;  1.07        ;  --           ;        642  ;         ; ; 
2025.01      ; 0                  ;      27.79   ;      +0.69                ;      -0.67                    ;   360;     41                      ;      0.135         ;     -3.240         ;      3.053         ;      0.970         ;       10.4  ;       +2.1               ;       -2.3                   ;        339      ;        +12                   ;        -17                       ; 1                ;  1.11        ;  --           ;        273  ; 2        ; Kepler-350 c; 
2038.01      ; 0                  ;       9.95   ;      +0.27                ;      -0.23                    ;  1005;    165                      ;      0.377         ;     -3.601         ;     14.601         ;      0.976         ;       40.9  ;       +2.0               ;       -3.0                   ;        555      ;        +12                   ;        -14                       ; 1                ;  1.24        ;  --           ;        549  ; 1, 2, 3        ; Kepler-85 b; 
