Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
 119.01      ; 1                  ;      48.71   ;      +0.77                ;      -0.74                    ;   205;     35                      ;      0.278         ;     -6.691         ;      3.585         ;      0.965         ;       2.52  ;      +0.48               ;      -0.43                   ;      193.6      ;       +9.9                   ;       -9.5                       ; 1                ;  1.32        ;  --           ;        203  ;         ; Kepler-108 b; 
 137.01      ; 0                  ;      37.56   ;      +0.12                ;      -0.12                    ;   266;    846                      ;      0.028         ;    -15.654         ;     13.830         ;      0.998         ;       5.47  ;      +0.17               ;      -0.17                   ;      283.4      ;       +2.3                   ;       -2.4                       ; 1                ;  1.19        ; [27.5, 47.5] +/-2.8          ;        126  ; 1, 3        ; Kepler-18 c; 
 137.02      ; 0                  ;      37.39   ;      +0.15                ;      -0.18                    ;   267;    481                      ;      0.072         ;    -15.852         ;     14.328         ;      0.996         ;       4.14  ;      +0.15               ;      -0.19                   ;      415.2      ;       +2.3                   ;       -2.8                       ; 1                ;  1.32        ;  --           ;        118  ; 1, 3        ; Kepler-18 d; 
 139.01      ; 0                  ;      10.42   ;      +0.15                ;      -0.21                    ;   959;    598                      ;      0.179         ;    -76.154         ;     36.422         ;      0.958         ;       35.5  ;       +1.2               ;       -1.2                   ;        388      ;         +7                   ;        -11                       ; 1                ;  2.49        ; 21.5 +/-2.6          ;        22.  ; 1        ; Kepler-111 c; 
 148.01      ; 0                  ;      25.05   ;      +0.51                ;      -0.48                    ;   399;     39                      ;      0.253         ;     -2.491         ;      3.204         ;      0.953         ;       3.40  ;      +0.50               ;      -0.43                   ;        189      ;        +20                   ;        -17                       ;  0.997           ;  1.12        ;  --           ;        173  ; 2, 3        ; Kepler-48 b; 
 148.02      ; 0                  ;      26.13   ;      +0.59                ;      -0.64                    ;   383;     48                      ;      0.141         ;     -2.600         ;      3.677         ;      0.962         ;       2.78  ;      +0.33               ;      -0.34                   ;        449      ;        +13                   ;        -11                       ; 1                ;  1.13        ;  --           ;        447  ; 2, 3        ; Kepler-48 c; 
 152.01      ; 0                  ;      15.72   ;      +0.37                ;      -0.40                    ;   636;    198                      ;      0.721         ;    -16.331         ;     33.288         ;      0.855         ;       8.52  ;      +0.59               ;      -0.62                   ;        455      ;        +17                   ;        -19                       ; 1                ;  1.59        ; 56.8 +/-4.6          ;        52.  ; 1, 3        ; Kepler-79 d; 
 152.02      ; 0                  ;      11.27   ;      +0.46                ;      -0.43                    ;   887;     71                      ;      1.100         ;     -4.909         ;      8.196         ;      0.898         ;       15.8  ;       +2.0               ;       -2.6                   ;        212      ;        +27                   ;        -27                       ; 1                ;  1.10        ;  --           ;        13.  ; 1, 2, 3        ; Kepler-79 c; 
 152.03      ; 0                  ;      12.36   ;      +0.55                ;      -0.54                    ;   809;     56                      ;      0.074         ;     -4.737         ;      2.468         ;      0.987         ;       10.6  ;       +1.0               ;       -1.1                   ;        700      ;        +17                   ;        -18                       ; 1                ;  1.24        ;  --           ;        679  ; 1, 2        ; Kepler-79 b; 
 152.04      ; 0                  ;      13.81   ;      +0.46                ;      -0.43                    ;   724;     54                      ;      0.325         ;     -5.187         ;      4.336         ;      0.970         ;       26.4  ;       +3.8               ;       -3.3                   ;        701      ;        +12                   ;        -15                       ; 1                ;  1.17        ;  --           ;        30.  ; 1        ; Kepler-79 e; 
 156.03      ; 0                  ;      60.35   ;      +0.36                ;      -0.40                    ;   166;     68                      ;      0.347         ;     -3.767         ;      5.909         ;      0.943         ;       3.06  ;      +0.27               ;      -0.29                   ;      296.3      ;       +4.9                   ;       -4.8                       ; 1                ;  1.18        ;  --           ;        263  ; 2, 3        ; Kepler-114 d; 
 157.01      ; 0                  ;      44.41   ;      +0.45                ;      -0.49                    ;   225;     61                      ;      0.146         ;     -3.228         ;      4.312         ;      0.984         ;       6.99  ;      +0.85               ;      -0.85                   ;      210.2      ;       +7.1                   ;       -8.1                       ; 1                ;  2.20        ;  --           ;        325  ; 1, 3        ; Kepler-11 c; 
 157.02      ; 1                  ;      56.22   ;      +0.61                ;      -0.53                    ;   178;     32                      ;      0.253         ;     -3.627         ;      4.425         ;      0.936         ;        6.0  ;       +1.0               ;       -1.0                   ;      174.2      ;       +8.2                   ;       -7.4                       ; 1                ;  1.17        ;  --           ;        124  ;         ; Kepler-11 d; 
 157.03      ; 0                  ;     130.13   ;      +0.38                ;      -0.51                    ;    77;     39                      ;      0.555         ;     -4.957         ;      5.522         ;      0.808         ;       4.75  ;      +0.71               ;      -0.67                   ;      186.9      ;       +3.1                   ;       -3.0                       ; 1                ;  1.17        ; 56.8 +/-2.5          ;        257  ; 1        ; Kepler-11 e; 
 157.04      ; 0                  ;      18.17   ;      +0.34                ;      -0.32                    ;   550;     94                      ;      0.282         ;     -5.115         ;      8.268         ;      0.964         ;       26.8  ;       +2.4               ;       -2.3                   ;      433.6      ;      +10.7                   ;       -7.5                       ; 1                ;  1.21        ;  --           ;        162  ; 1, 3        ; Kepler-11 f; 
 157.06      ; 1                  ;      43.74   ;      +0.71                ;      -0.80                    ;   229;     29                      ;      0.179         ;     -3.214         ;      3.114         ;      0.942         ;       10.8  ;       +1.6               ;       -1.8                   ;        320      ;        +12                   ;        -12                       ; 1                ;  1.14        ;  --           ;        258  ;         ; Kepler-11 b; 
 165.01      ; 0                  ;      19.48   ;      +0.57                ;      -0.52                    ;   513;     53                      ;      0.311         ;     -3.445         ;      6.445         ;      0.947         ;       5.34  ;      +0.57               ;      -0.52                   ;        372      ;        +12                   ;        -13                       ; 1                ;  1.14        ;  --           ;        43.  ; 1        ; ; 
 168.01      ; 0                  ;      21.35   ;      +0.21                ;      -0.19                    ;   468;    316                      ;      0.158         ;     -8.551         ;     22.319         ;      0.995         ;       22.6  ;       +1.2               ;       -1.1                   ;      220.4      ;       +7.1                   ;       -6.9                       ; 1                ;  1.23        ;  --           ;        673  ; 1, 3, 6        ; Kepler-23 c; 
