RA,DEC,max,min,med,avg,camera
168.3,-83.35,3,2,2,2.275,3
176.2,-86.32,3,2,2,2.227,3
176.2,-86.32,3,2,2,2.227,3
176.2,-86.32,3,2,2,2.227,3
-176.6,-58.01,2,0,1,1.328,2
-176.6,-58.01,2,0,1,1.328,2
-176.6,-58.01,2,0,1,1.328,2
-176.6,-58.01,2,0,1,1.328,2
-176.6,-58.01,2,0,1,1.328,2
179,-49.57,2,0,1,1.201,2
179,-49.57,2,0,1,1.201,2
-182.9,-86.1,3,2,2,2.219,3
-182.9,-86.1,3,2,2,2.219,3
-182.9,-86.1,3,2,2,2.219,3
185.4,-84.93,3,0,1,1.621,3
185.4,-84.93,3,0,1,1.621,3
-187.5,-44.74,2,0,1,1.169,2
-187.5,-44.74,2,0,1,1.169,2
-189.8,-64.12,2,0,2,1.67,3
-189.8,-64.12,2,0,2,1.67,3
-189.8,-64.12,2,0,2,1.67,3
-194.4,-11.35,1,0,1,0.883,1
-194.4,-11.35,1,0,1,0.883,1
-199.5,-27.28,2,0,1,1.006,2
-199.5,-27.28,2,0,1,1.006,2
-201,-34.6,2,0,1,1.108,2
-201,-34.6,2,0,1,1.108,2
-201.4,-26.84,2,0,1,1.01,2
-201.4,-26.84,2,0,1,1.01,2
-208.9,-52.34,2,0,2,1.608,3
-208.9,-52.34,2,0,2,1.608,3
-209.7,-73.45,3,2,3,2.548,3
-209.7,-73.45,3,2,3,2.548,3
-213.5,-63.17,3,2,2,2.232,3
-213.5,-63.17,3,2,2,2.232,3
-214.7,-64.12,3,2,2,2.333,3
-214.7,-64.12,3,2,2,2.333,3
-215.7,-35.67,2,0,1,1.238,2
-215.7,-35.67,2,0,1,1.238,2
-220.5,-84.17,3,2,3,2.625,3
-220.5,-84.17,3,2,3,2.625,3
-220.6,-24.34,2,0,1,1.08,2
-220.6,-24.34,2,0,1,1.08,2
-222.3,-33.03,2,0,1,1.24,2
-222.3,-33.03,2,0,1,1.24,2
223.5,-4.261,0,0,0,0,nan
223.5,-4.261,0,0,0,0,nan
-225.7,-63.19,3,2,3,2.851,3
-225.7,-63.19,3,2,3,2.851,3
-226.8,-80.37,4,2,3,3.047,3
-226.8,-80.37,4,2,3,3.047,3
-228.4,-56.15,3,2,2,2.39,3
-228.4,-56.15,3,2,2,2.39,3
-231.4,-44.91,2,0,2,1.749,3
-231.4,-44.91,2,0,2,1.749,3
-231.6,-67.07,6,4,5,5.166,3
-231.6,-67.07,6,4,5,5.166,3
-232.3,-45.74,2,0,2,1.812,3
-232.3,-45.74,2,0,2,1.812,3
232.5,-72.73,2,0,1,1.37,2
232.5,-72.73,2,0,1,1.37,2
-234.3,-57.39,3,2,3,2.839,3
-234.3,-57.39,3,2,3,2.839,3
235.2,-27.74,1,0,1,0.853,1
235.2,-27.74,1,0,1,0.853,1
-236,-41.49,2,0,2,1.669,3
-236,-41.49,2,0,2,1.669,3
-236,-41.49,2,0,2,1.669,3
-236,-41.49,2,0,2,1.669,3
-236,-41.49,2,0,2,1.669,3
-238.2,-40.73,2,0,2,1.669,3
-238.2,-40.73,2,0,2,1.669,3
-238.9,-71.71,13,11,12,12,4
-238.9,-71.71,13,11,12,12,4
-239.1,-79.09,6,4,5,4.928,3
-239.1,-79.09,6,4,5,4.928,3
-240.1,-56.72,4,2,3,3.18,3
-240.1,-56.72,4,2,3,3.18,3
-240.5,-63.37,10,7,9,8.685,4
-240.5,-63.37,10,7,9,8.685,4
-240.5,-63.37,10,7,9,8.685,4
-241.2,-65.81,13,12,13,12.643,4
