#RA,DEC,max,min,med,avg,camera
51.320000,-42.550000,2.000000,0.000000,2.000000,1.637000,3.000000
51.330000,-67.620000,6.000000,4.000000,5.000000,5.201000,3.000000
51.450000,-13.160000,2.000000,0.000000,1.000000,0.985000,2.000000
51.520000,9.226000,1.000000,0.000000,1.000000,0.856000,1.000000
52.170000,-85.440000,3.000000,2.000000,3.000000,2.640000,3.000000
52.250000,-32.100000,2.000000,0.000000,1.000000,1.300000,2.000000
52.280000,-50.630000,3.000000,0.000000,2.000000,1.718000,3.000000
52.330000,-45.370000,2.000000,0.000000,2.000000,1.793000,3.000000
52.410000,27.670000,0.000000,0.000000,0.000000,0.000000,nan
52.430000,-22.090000,2.000000,0.000000,1.000000,1.106000,2.000000
52.560000,-24.950000,2.000000,0.000000,1.000000,1.155000,2.000000
53.330000,-32.250000,2.000000,0.000000,1.000000,1.313000,2.000000
53.340000,9.773000,1.000000,0.000000,1.000000,0.856000,1.000000
53.400000,32.760000,0.000000,0.000000,0.000000,0.000000,nan
53.700000,-39.500000,2.000000,0.000000,2.000000,1.548000,3.000000
54.140000,39.850000,0.000000,0.000000,0.000000,0.000000,nan
54.450000,-66.760000,8.000000,6.000000,6.000000,6.431000,4.000000
54.550000,-77.440000,6.000000,4.000000,5.000000,5.053000,3.000000
54.790000,-30.060000,2.000000,0.000000,1.000000,1.272000,2.000000
54.980000,-42.390000,2.000000,0.000000,2.000000,1.694000,3.000000
55.110000,-83.600000,3.000000,2.000000,3.000000,2.877000,3.000000
55.300000,-68.180000,8.000000,6.000000,8.000000,7.513000,4.000000
55.340000,-26.760000,2.000000,0.000000,1.000000,1.206000,2.000000
55.510000,-57.990000,4.000000,2.000000,3.000000,3.001000,3.000000
55.570000,-63.660000,6.000000,4.000000,6.000000,5.514000,4.000000
55.670000,-69.980000,9.000000,6.000000,8.000000,8.148000,4.000000
55.670000,-35.090000,3.000000,0.000000,1.000000,1.541000,2.000000
55.700000,-57.650000,4.000000,2.000000,3.000000,2.969000,3.000000
56.040000,-67.900000,9.000000,6.000000,8.000000,7.958000,4.000000
56.130000,41.650000,0.000000,0.000000,0.000000,0.000000,nan
56.240000,-69.650000,10.000000,7.000000,9.000000,8.597000,4.000000
56.390000,51.030000,0.000000,0.000000,0.000000,0.000000,nan
56.520000,-48.810000,3.000000,0.000000,2.000000,1.718000,3.000000
56.720000,-48.680000,3.000000,0.000000,2.000000,1.725000,3.000000
56.840000,-15.510000,2.000000,0.000000,1.000000,1.031000,2.000000
57.470000,-42.600000,2.000000,0.000000,2.000000,1.749000,3.000000
57.550000,-24.190000,2.000000,0.000000,1.000000,1.169000,2.000000
57.670000,-57.660000,4.000000,2.000000,3.000000,3.125000,3.000000
58.370000,-65.950000,10.000000,8.000000,9.000000,9.060000,4.000000
58.410000,-64.510000,9.000000,6.000000,8.000000,7.852000,4.000000
58.680000,-36.950000,2.000000,0.000000,2.000000,1.513000,3.000000
58.710000,-58.290000,5.000000,2.000000,4.000000,3.731000,3.000000
58.920000,-8.808000,1.000000,0.000000,1.000000,0.961000,1.000000
59.040000,-63.710000,8.000000,6.000000,8.000000,7.681000,4.000000
59.130000,-23.570000,2.000000,0.000000,1.000000,1.165000,2.000000
59.470000,-72.780000,12.000000,10.000000,11.000000,11.335000,4.000000
59.500000,-60.490000,6.000000,4.000000,6.000000,5.375000,4.000000
59.560000,-28.650000,2.000000,0.000000,1.000000,1.272000,2.000000
59.770000,10.830000,1.000000,0.000000,1.000000,0.858000,1.000000
59.990000,-53.320000,3.000000,2.000000,3.000000,2.689000,3.000000
60.090000,43.530000,0.000000,0.000000,0.000000,0.000000,nan
60.230000,12.430000,1.000000,0.000000,1.000000,0.853000,1.000000
60.470000,-2.970000,1.000000,0.000000,1.000000,0.922000,1.000000
60.550000,-1.947000,1.000000,0.000000,1.000000,0.916000,1.000000
60.640000,72.370000,0.000000,0.000000,0.000000,0.000000,nan
60.730000,-74.270000,11.000000,10.000000,10.000000,10.349000,4.000000
61.170000,32.270000,0.000000,0.000000,0.000000,0.000000,nan
61.340000,-71.930000,13.000000,12.000000,13.000000,12.635000,4.000000
61.360000,-68.970000,13.000000,12.000000,13.000000,12.624000,4.000000
61.420000,77.610000,0.000000,0.000000,0.000000,0.000000,nan
61.490000,-80.120000,5.000000,4.000000,5.000000,4.575000,3.000000
61.500000,-62.560000,10.000000,7.000000,9.000000,8.685000,4.000000
61.610000,-79.730000,6.000000,4.000000,5.000000,4.860000,3.000000
61.740000,-73.720000,13.000000,12.000000,13.000000,12.650000,4.000000
61.800000,-68.620000,13.000000,12.000000,13.000000,12.620000,4.000000
61.820000,40.320000,0.000000,0.000000,0.000000,0.000000,nan
61.870000,-59.030000,6.000000,4.000000,6.000000,5.353000,4.000000
61.880000,31.760000,0.000000,0.000000,0.000000,0.000000,nan
61.920000,-70.670000,13.000000,12.000000,13.000000,12.620000,4.000000
62.020000,-2.932000,1.000000,0.000000,1.000000,0.924000,1.000000
62.040000,-56.680000,5.000000,2.000000,4.000000,3.794000,3.000000
62.200000,-75.120000,11.000000,10.000000,10.000000,10.195000,4.000000
62.230000,-75.930000,10.000000,8.000000,9.000000,8.821000,4.000000
62.590000,-15.850000,2.000000,0.000000,1.000000,1.054000,2.000000
62.780000,-24.950000,2.000000,0.000000,1.000000,1.209000,2.000000
62.890000,-51.330000,3.000000,2.000000,3.000000,2.591000,3.000000
62.970000,31.880000,0.000000,0.000000,0.000000,0.000000,nan
63.020000,-38.980000,2.000000,0.000000,2.000000,1.656000,3.000000
63.130000,-59.830000,8.000000,6.000000,7.000000,6.742000,4.000000
63.300000,-50.000000,3.000000,2.000000,2.000000,2.458000,3.000000
63.530000,-60.600000,9.000000,6.000000,8.000000,7.923000,4.000000
63.560000,-22.720000,2.000000,0.000000,1.000000,1.169000,2.000000
63.620000,-58.640000,7.000000,5.000000,6.000000,5.828000,4.000000
63.730000,0.740400,1.000000,0.000000,1.000000,0.905000,1.000000
63.900000,-30.540000,2.000000,0.000000,1.000000,1.348000,2.000000
63.910000,-64.190000,13.000000,12.000000,13.000000,12.624000,4.000000
64.120000,-2.575000,1.000000,0.000000,1.000000,0.925000,1.000000
64.270000,-38.060000,2.000000,0.000000,2.000000,1.630000,3.000000
64.310000,-70.390000,13.000000,12.000000,13.000000,12.591000,4.000000
64.500000,-69.710000,13.000000,12.000000,13.000000,12.583000,4.000000
64.590000,-63.440000,13.000000,12.000000,13.000000,12.628000,4.000000
64.830000,-65.210000,13.000000,12.000000,13.000000,12.598000,4.000000
64.840000,-74.510000,13.000000,12.000000,13.000000,12.635000,4.000000
64.940000,-39.250000,2.000000,0.000000,2.000000,1.696000,3.000000
65.100000,-15.750000,2.000000,0.000000,1.000000,1.060000,2.000000
65.110000,-77.520000,9.000000,6.000000,8.000000,7.748000,4.000000
65.500000,-66.210000,13.000000,12.000000,13.000000,12.576000,4.000000
65.530000,-69.180000,13.000000,12.000000,13.000000,12.565000,4.000000
65.690000,-64.490000,13.000000,12.000000,13.000000,12.594000,4.000000
65.970000,-67.150000,13.000000,12.000000,13.000000,12.561000,4.000000
66.330000,-50.740000,3.000000,2.000000,3.000000,2.673000,3.000000
66.420000,-63.280000,13.000000,12.000000,13.000000,12.606000,4.000000
